software_name,software_url,repository_url,all_github_links,organization,repository_name,owner_repo_pattern,source
CoMOLA,https://helmholtz.software/software/comola,https://github.com/Helmholtz-UFZ/CoMOLA,['https://github.com/Helmholtz-UFZ/CoMOLA'],Helmholtz-UFZ,CoMOLA,Helmholtz-UFZ/CoMOLA,HELMHOLTZ
ICOS CP python library,https://research-software-directory.org/software/icos-cp-python-library,https://github.com/ICOS-Carbon-Portal/pylib,['https://github.com/ICOS-Carbon-Portal/pylib'],ICOS-Carbon-Portal,pylib,ICOS-Carbon-Portal/pylib,RSD
minimism,https://research-software-directory.org/software/minimism,https://github.com/IMAU-paleo/minimism,['https://github.com/IMAU-paleo/minimism'],IMAU-paleo,minimism,IMAU-paleo/minimism,RSD
SIMPA - The toolkit for Simulation and Image Processing for Photonics and Acoustics,https://helmholtz.software/software/simpa,https://github.com/IMSY-DKFZ/simpa,['https://github.com/IMSY-DKFZ/simpa'],IMSY-DKFZ,simpa,IMSY-DKFZ/simpa,HELMHOLTZ
Alpaca,https://helmholtz.software/software/alpaca,https://github.com/INM-6/alpaca,['https://github.com/INM-6/alpaca'],INM-6,alpaca,INM-6/alpaca,HELMHOLTZ
sv-callers,https://research-software-directory.org/software/sv-callers,https://github.com/Illumina/manta,"['https://github.com/PapenfussLab/gridss', 'https://github.com/Illumina/manta', 'https://github.com/dellytools/delly', 'https://github.com/arq5x/lumpy-sv', 'https://github.com/GooglingTheCancerGenome/sv-callers']",Illumina,manta,Illumina/manta,RSD
COVID-19 Integrated Surveillance Data in Italy,https://research-software-directory.org/software/covid-19-integrated-surveillance-data-in-italy,https://github.com/InPhyT/UnrollingAverages.jl,"['https://github.com/InPhyT/COVID19-Italy-Integrated-Surveillance-Data', 'https://github.com/InPhyT/UnrollingAverages.jl']",InPhyT,UnrollingAverages.jl,InPhyT/UnrollingAverages.jl,RSD
Islandora,https://research-software-directory.org/software/islandora,https://github.com/Islandora/islandora,['https://github.com/Islandora/islandora'],Islandora,islandora,Islandora/islandora,RSD
JEMRIS,https://helmholtz.software/software/jemris,https://github.com/JEMRIS/jemris,"['https://github.com/ismrmrd/ismrmrd', 'https://github.com/JEMRIS/jemris']",JEMRIS,jemris,JEMRIS/jemris,HELMHOLTZ
PeakPerformance,https://helmholtz.software/software/peakperformance,https://github.com/JuBiotech/peak-performance,['https://github.com/JuBiotech/peak-performance'],JuBiotech,peak-performance,JuBiotech/peak-performance,HELMHOLTZ
AiiDA-KKR,https://helmholtz.software/software/aiida-kkr,https://github.com/JuDFTteam/aiida-kkr,['https://github.com/JuDFTteam/aiida-kkr'],JuDFTteam,aiida-kkr,JuDFTteam/aiida-kkr,HELMHOLTZ
AstroImages.jl,https://research-software-directory.org/software/astroimagesjl,https://github.com/JuliaAstro/AstroImages.jl,['https://github.com/JuliaAstro/AstroImages.jl'],JuliaAstro,AstroImages.jl,JuliaAstro/AstroImages.jl,RSD
AttentionLayer.jl,https://research-software-directory.org/software/attentionlayerjl,https://github.com/JuliaBesties/BestieTemplate.jl,"['https://github.com/JuliaBesties/BestieTemplate.jl', 'https://github.com/DEEPDIP-project/CoupledNODE.jl', 'https://github.com/DEEPDIP-project/AttentionLayer.jl']",JuliaBesties,BestieTemplate.jl,JuliaBesties/BestieTemplate.jl,RSD
MultilayerGraphs.jl,https://research-software-directory.org/software/multilayergraphs,https://github.com/JuliaGraphs/Graphs.jl,"['https://github.com/JuliaGraphs/Graphs.jl', 'https://github.com/JuliaDynamics/Agents.jl', 'https://github.com/JuliaGraphs/MultilayerGraphs.jl']",JuliaGraphs,Graphs.jl,JuliaGraphs/Graphs.jl,RSD
ICD_GEMs.jl,https://research-software-directory.org/software/icdgems,https://github.com/JuliaHealth/ICD_GEMs.jl,"['https://github.com/JuliaHealth/ICD_GEMs.jl', 'https://github.com/JuliaData/DataFrames.jl', 'https://github.com/JuliaCollections/DataStructures.jl']",JuliaHealth,ICD_GEMs.jl,JuliaHealth/ICD_GEMs.jl,RSD
MPI.jl,https://research-software-directory.org/software/mpijl,https://github.com/JuliaParallel/MPI.jl,['https://github.com/JuliaParallel/MPI.jl'],JuliaParallel,MPI.jl,JuliaParallel/MPI.jl,RSD
Measurements.jl,https://research-software-directory.org/software/measurementsjl,https://github.com/JuliaPhysics/Measurements.jl,['https://github.com/JuliaPhysics/Measurements.jl'],JuliaPhysics,Measurements.jl,JuliaPhysics/Measurements.jl,RSD
Rocket,https://research-software-directory.org/software/rocket,https://github.com/JungleComputing/rocket,['https://github.com/JungleComputing/rocket'],JungleComputing,rocket,JungleComputing/rocket,RSD
ROBIST,https://research-software-directory.org/software/robist,https://github.com/JustinStarreveld/ROBIST,['https://github.com/JustinStarreveld/ROBIST'],JustinStarreveld,ROBIST,JustinStarreveld/ROBIST,RSD
ochre,https://research-software-directory.org/software/ochre,https://github.com/KBNLresearch/ochre,['https://github.com/KBNLresearch/ochre'],KBNLresearch,ochre,KBNLresearch/ochre,RSD
Copy-Paste Imputation (CPI) for Energy Time Series,https://helmholtz.software/software/copy-paste-imputation,https://github.com/KIT-IAI/CopyPasteImputation,['https://github.com/KIT-IAI/CopyPasteImputation'],KIT-IAI,CopyPasteImputation,KIT-IAI/CopyPasteImputation,HELMHOLTZ
CorC,https://helmholtz.software/software/corc,https://github.com/KIT-TVA/CorC,"['https://github.com/KIT-TVA/CorC/', 'https://github.com/KIT-TVA/CorC']",KIT-TVA,CorC,KIT-TVA/CorC,HELMHOLTZ
KaGen - Communication-free Massively Distributed Graph Generators,https://helmholtz.software/software/kagen-communication-free-massively-distributed-graph-generators,https://github.com/KaHIP/KaHIP,"['https://github.com/HPCGraphAnalysis/PuLP', 'https://github.com/sparsehash/sparsehash', 'https://github.com/KaHIP/KaHIP', 'https://github.com/KarlsruheGraphGeneration/KaGen']",KaHIP,KaHIP,KaHIP/KaHIP,HELMHOLTZ
Ideal-Equilibrium-Oxygen-Membrane-Reactor,https://helmholtz.software/software/ideal-equilibrium-oxygen-membrane-reactor,https://github.com/KabitGit/Ideal-Equilibrium-Oxygen-Membrane-Reactor,['https://github.com/KabitGit/Ideal-Equilibrium-Oxygen-Membrane-Reactor'],KabitGit,Ideal-Equilibrium-Oxygen-Membrane-Reactor,KabitGit/Ideal-Equilibrium-Oxygen-Membrane-Reactor,HELMHOLTZ
Kernel Float,https://research-software-directory.org/software/kernel-float,https://github.com/KernelTuner/kernel_float,['https://github.com/KernelTuner/kernel_float'],KernelTuner,kernel_float,KernelTuner/kernel_float,RSD
RickView,https://research-software-directory.org/software/rickview,https://github.com/KonradHoeffner/rickview,['https://github.com/KonradHoeffner/rickview'],KonradHoeffner,rickview,KonradHoeffner/rickview,RSD
sfb-annotator,https://research-software-directory.org/software/sfb-annotator,https://github.com/LINNAE-project/SFB-Annotator,['https://github.com/LINNAE-project/SFB-Annotator'],LINNAE-project,SFB-Annotator,LINNAE-project/SFB-Annotator,RSD
JumpDiff,https://helmholtz.software/software/jumpdiff,https://github.com/LRydin/jumpdiff,['https://github.com/LRydin/jumpdiff'],LRydin,jumpdiff,LRydin/jumpdiff,HELMHOLTZ
KeYmaera X,https://helmholtz.software/software/keymaera-x,https://github.com/LS-Lab/Coq-dL,"['https://github.com/LS-Lab/KeYmaeraX-release', 'https://github.com/LS-Lab/Isabelle-dL', 'https://github.com/LS-Lab/Coq-dL']",LS-Lab,Coq-dL,LS-Lab/Coq-dL,HELMHOLTZ
LXCat,https://research-software-directory.org/software/lxcat,https://github.com/LXCat-project/LXCat,['https://github.com/LXCat-project/LXCat'],LXCat-project,LXCat,LXCat-project/LXCat,RSD
WEARDA,https://research-software-directory.org/software/wearda,https://github.com/LiacsProjects/Wearda,['https://github.com/LiacsProjects/Wearda'],LiacsProjects,Wearda,LiacsProjects/Wearda,RSD
LimeSurvey,https://research-software-directory.org/software/limesurvey,https://github.com/LimeSurvey/LimeSurvey,['https://github.com/LimeSurvey/LimeSurvey'],LimeSurvey,LimeSurvey,LimeSurvey/LimeSurvey,RSD
MapReader,https://research-software-directory.org/software/mapreader,https://github.com/Living-with-machines/MapReader,"['https://github.com/Living-with-machines/MapReader', 'https://github.com/maps-as-data/MapReader-examples']",Living-with-machines,MapReader,Living-with-machines/MapReader,RSD
Cerise,https://research-software-directory.org/software/cerise,https://github.com/MD-Studio/cerise,['https://github.com/MD-Studio/cerise'],MD-Studio,cerise,MD-Studio/cerise,RSD
nnU-Net,https://helmholtz.software/software/nnu-net,https://github.com/MIC-DKFZ/nnUNet,['https://github.com/MIC-DKFZ/nnUNet'],MIC-DKFZ,nnUNet,MIC-DKFZ/nnUNet,HELMHOLTZ
PlanEO Dashboard,https://research-software-directory.org/software/planeo-dashboard,https://github.com/MINE-DD/dashboard,['https://github.com/MINE-DD/dashboard'],MINE-DD,dashboard,MINE-DD/dashboard,RSD
Medical Imaging Interaction Toolkit (MITK),https://helmholtz.software/software/mitk,https://github.com/MITK/MITK,['https://github.com/MITK/MITK'],MITK,MITK,MITK/MITK,HELMHOLTZ
CrowdED,https://research-software-directory.org/software/crowded,https://github.com/MaastrichtU-IDS/crowdED,['https://github.com/MaastrichtU-IDS/crowdED'],MaastrichtU-IDS,crowdED,MaastrichtU-IDS/crowdED,RSD
CICMoD - A Climate Index Collection based on Model Data,https://helmholtz.software/software/climate-index-collection,https://github.com/MarcoLandtHayen/climate_index_collection,['https://github.com/MarcoLandtHayen/climate_index_collection'],MarcoLandtHayen,climate_index_collection,MarcoLandtHayen/climate_index_collection,HELMHOLTZ
hCoCena - horizontal integration and analysis of transcriptomics datasets,https://helmholtz.software/software/hcocena,https://github.com/MarieOestreich/hCoCena,['https://github.com/MarieOestreich/hCoCena'],MarieOestreich,hCoCena,MarieOestreich/hCoCena,HELMHOLTZ
MassBank,https://helmholtz.software/software/massbank,https://github.com/MassBank/MassBank-web,"['https://github.com/MassBank/MassBank-web', 'https://github.com/MassBank/MassBank-data']",MassBank,MassBank-web,MassBank/MassBank-web,HELMHOLTZ
dirschema,https://helmholtz.software/software/dirschema,https://github.com/Materials-Data-Science-and-Informatics/dirschema,['https://github.com/Materials-Data-Science-and-Informatics/dirschema'],Materials-Data-Science-and-Informatics,dirschema,Materials-Data-Science-and-Informatics/dirschema,HELMHOLTZ
Software for self-adaptive and on-the-fly mapping of coastal parameters from video of a wave field,https://research-software-directory.org/software/4tu-software-for-self-adaptive-and-on-the-fly-mapping-of-coastal-parameters-from-video-of-a-wave-field,https://github.com/MatthijsGawehn/COCOS,['https://github.com/MatthijsGawehn/COCOS'],MatthijsGawehn,COCOS,MatthijsGawehn/COCOS,RSD
mibibio,https://research-software-directory.org/software/mibibio,https://github.com/MiBiPreT/mibibio,['https://github.com/MiBiPreT/mibibio'],MiBiPreT,mibibio,MiBiPreT/mibibio,RSD
mibiremo,https://research-software-directory.org/software/mibiremo,https://github.com/MiBiPret/mibiremo,['https://github.com/MiBiPret/mibiremo'],MiBiPret,mibiremo,MiBiPret/mibiremo,RSD
admtools,https://research-software-directory.org/software/admtools,https://github.com/MindTheGap-ERC/admtools,['https://github.com/MindTheGap-ERC/admtools'],MindTheGap-ERC,admtools,MindTheGap-ERC/admtools,RSD
SARXarray,https://research-software-directory.org/software/sarxarray,https://github.com/MotionbyLearning/sarxarray,['https://github.com/MotionbyLearning/sarxarray'],MotionbyLearning,sarxarray,MotionbyLearning/sarxarray,RSD
Motus Wildlife Tracking System,https://research-software-directory.org/software/motus-wildlife-tracking-system,https://github.com/MotusWTS/motus,['https://github.com/MotusWTS/motus'],MotusWTS,motus,MotusWTS/motus,RSD
CDF2Medmij-Mapping-tool,https://research-software-directory.org/software/cdf2medmij-mapping-tool,https://github.com/MyDigiTwinNL/CDF2Medmij-Mapping-tool,['https://github.com/MyDigiTwinNL/CDF2Medmij-Mapping-tool'],MyDigiTwinNL,CDF2Medmij-Mapping-tool,MyDigiTwinNL/CDF2Medmij-Mapping-tool,RSD
TaxoTagger,https://research-software-directory.org/software/taxotagger,https://github.com/MycoAI/taxotagger,['https://github.com/MycoAI/taxotagger'],MycoAI,taxotagger,MycoAI/taxotagger,RSD
JupyterHub Outpost,https://helmholtz.software/software/jupyterhub-outpost,https://github.com/NERSC/sshspawner,"['https://github.com/NERSC/sshspawner', 'https://github.com/kreuzert/jupyterhub-outpost', 'https://github.com/jupyterhub/kubespawner', 'https://github.com/jupyterhub/batchspawner', 'https://github.com/kreuzert/jupyterhub-outpostspawner/']",NERSC,sshspawner,NERSC/sshspawner,HELMHOLTZ
Davidson diagonalization in Fortran,https://research-software-directory.org/software/fortrandavidson,https://github.com/NLESC-JCER/Fortran_Davidson,['https://github.com/NLESC-JCER/Fortran_Davidson'],NLESC-JCER,Fortran_Davidson,NLESC-JCER/Fortran_Davidson,RSD
AHN point cloud viewer web service,https://research-software-directory.org/software/ahn-pointcloud-viewer-ws,https://github.com/NLeSC/ahn-pointcloud-viewer,"['https://github.com/NLeSC/ahn-pointcloud-viewer', 'https://github.com/NLeSC/ahn-pointcloud-viewer-ws']",NLeSC,ahn-pointcloud-viewer,NLeSC/ahn-pointcloud-viewer,RSD
Compas Toolkit,https://research-software-directory.org/software/compas-toolkit,https://github.com/NLeSC-COMPAS/compas-toolkit,['https://github.com/NLeSC-COMPAS/compas-toolkit'],NLeSC-COMPAS,compas-toolkit,NLeSC-COMPAS/compas-toolkit,RSD
dCacheFS,https://research-software-directory.org/software/dcachefs,https://github.com/NLeSC-GO-common-infrastructure/dcachefs,['https://github.com/NLeSC-GO-common-infrastructure/dcachefs'],NLeSC-GO-common-infrastructure,dcachefs,NLeSC-GO-common-infrastructure/dcachefs,RSD
NNPDF,https://research-software-directory.org/software/nnpdf,https://github.com/NNPDF/nnpdf,['https://github.com/NNPDF/nnpdf'],NNPDF,nnpdf,NNPDF/nnpdf,RSD
NPLinker,https://research-software-directory.org/software/nplinker,https://github.com/NPLinker/nplinker,['https://github.com/NPLinker/nplinker'],NPLinker,nplinker,NPLinker/nplinker,RSD
FLORIDyn (OFF toolbox) Code and input files underlying the publication: Wind pattern clustering of high frequent field measurements for dynamic wind farm flow control,https://research-software-directory.org/software/4tu-floridyn-off-toolbox-code-and-input-files-underlying-the-publication-wind-pattern-clustering-of-high-frequent-field-measurements-for-dynamic-wind-farm-flow-control,https://github.com/NREL/floris,['https://github.com/NREL/floris'],NREL,floris,NREL/floris,RSD
cerulean,https://research-software-directory.org/software/cerulean,https://github.com/NaturalHPC/cerulean,['https://github.com/NaturalHPC/cerulean'],NaturalHPC,cerulean,NaturalHPC/cerulean,RSD
Elephant,https://helmholtz.software/software/elephant,https://github.com/NeuralEnsemble/elephant,['https://github.com/NeuralEnsemble/elephant'],NeuralEnsemble,elephant,NeuralEnsemble/elephant,HELMHOLTZ
Compass-school,https://research-software-directory.org/software/compass-school,https://github.com/ODISSEI-School-Choice/school-choice,['https://github.com/ODISSEI-School-Choice/school-choice'],ODISSEI-School-Choice,school-choice,ODISSEI-School-Choice/school-choice,RSD
MSS - Mission Support System,https://helmholtz.software/software/mss,https://github.com/Open-MSS/MSS,['https://github.com/Open-MSS/MSS'],Open-MSS,MSS,Open-MSS/MSS,HELMHOLTZ
OpenDA,https://research-software-directory.org/software/openda,https://github.com/OpenDA-Association/OpenDA,['https://github.com/OpenDA-Association/OpenDA'],OpenDA-Association,OpenDA,OpenDA-Association/OpenDA,RSD
OpenMS,https://research-software-directory.org/software/openms,https://github.com/OpenMS/OpenMS,['https://github.com/OpenMS/OpenMS'],OpenMS,OpenMS,OpenMS/OpenMS,RSD
PAVICS,https://research-software-directory.org/software/pavics,https://github.com/Ouranosinc/xclim,"['https://github.com/Ouranosinc/xclim', 'https://github.com/Ouranosinc/raven', 'https://github.com/Ouranosinc/PAVICS-landing']",Ouranosinc,xclim,Ouranosinc/xclim,RSD
PDAF,https://helmholtz.software/software/pdaf,https://github.com/PDAF/PDAF,"['https://github.com/BoldingBruggeman/eat/', 'https://github.com/HPSCTerrSys/TSMP', 'https://github.com/PDAF/PDAF']",PDAF,PDAF,PDAF/PDAF,HELMHOLTZ
PoreSpy,https://research-software-directory.org/software/porespy,https://github.com/PMEAL/porespy,['https://github.com/PMEAL/porespy'],PMEAL,porespy,PMEAL/porespy,RSD
PanVA,https://research-software-directory.org/software/panva,https://github.com/PanBrowse/PanVA,['https://github.com/PanBrowse/PanVA'],PanBrowse,PanVA,PanBrowse/PanVA,RSD
PanTools-pipeline-v4,https://research-software-directory.org/software/pantools-pipeline-v4,https://github.com/PanUtils/pantools-pipeline-v4,['https://github.com/PanUtils/pantools-pipeline-v4'],PanUtils,pantools-pipeline-v4,PanUtils/pantools-pipeline-v4,RSD
pySDC,https://helmholtz.software/software/pysdc,https://github.com/Parallel-in-Time/pySDC,"['https://github.com/jakob-fritz/github2lab_action', 'https://github.com/Parallel-in-Time/pySDC']",Parallel-in-Time,pySDC,Parallel-in-Time/pySDC,HELMHOLTZ
PartitionedArrays.jl,https://research-software-directory.org/software/partitionedarraysjl,https://github.com/PartitionedArrays/PartitionedArrays.jl,['https://github.com/PartitionedArrays/PartitionedArrays.jl'],PartitionedArrays,PartitionedArrays.jl,PartitionedArrays/PartitionedArrays.jl,RSD
DL4PuDe,https://helmholtz.software/software/dl4pude,https://github.com/PedestrianDynamics/DL4PuDe,['https://github.com/PedestrianDynamics/DL4PuDe'],PedestrianDynamics,DL4PuDe,PedestrianDynamics/DL4PuDe,HELMHOLTZ
PeriHub,https://helmholtz.software/software/perihub,https://github.com/PeriHub/PeriHub,['https://github.com/PeriHub/PeriHub'],PeriHub,PeriHub,PeriHub/PeriHub,HELMHOLTZ
CPlantBox,https://helmholtz.software/software/cplantbox,https://github.com/Plant-Root-Soil-Interactions-Modelling/CPlantBox,['https://github.com/Plant-Root-Soil-Interactions-Modelling/CPlantBox'],Plant-Root-Soil-Interactions-Modelling,CPlantBox,Plant-Root-Soil-Interactions-Modelling/CPlantBox,HELMHOLTZ
Plus Toolkit,https://research-software-directory.org/software/plus-toolkit,https://github.com/PlusToolkit/PlusLib,['https://github.com/PlusToolkit/PlusLib'],PlusToolkit,PlusLib,PlusToolkit/PlusLib,RSD
PtyLab.m/py/jl,https://helmholtz.software/software/ptylab,https://github.com/PtyLab/PtyLab.py,['https://github.com/PtyLab/PtyLab.py'],PtyLab,PtyLab.py,PtyLab/PtyLab.py,HELMHOLTZ
FlowStrider,https://helmholtz.software/software/flowstrider,https://github.com/PyCQA/bandit,['https://github.com/PyCQA/bandit'],PyCQA,bandit,PyCQA/bandit,HELMHOLTZ
FAIRSECO,https://research-software-directory.org/software/fairseco,https://github.com/QDUNI/FairSECO,['https://github.com/QDUNI/FairSECO'],QDUNI,FairSECO,QDUNI/FairSECO,RSD
qumia-train-scripts,https://research-software-directory.org/software/qumia-train-scripts,https://github.com/QUMIA/train-scripts,['https://github.com/QUMIA/train-scripts'],QUMIA,train-scripts,QUMIA/train-scripts,RSD
qalcore,https://research-software-directory.org/software/qalcore,https://github.com/QuantumApplicationLab/qalcore,['https://github.com/QuantumApplicationLab/qalcore'],QuantumApplicationLab,qalcore,QuantumApplicationLab/qalcore,RSD
BenchmarkRecovery,https://research-software-directory.org/software/benchmarkrecovery,https://github.com/RETURN-project/BenchmarkRecovery,['https://github.com/RETURN-project/BenchmarkRecovery'],RETURN-project,BenchmarkRecovery,RETURN-project/BenchmarkRecovery,RSD
JupyterDaskOnSLURM,https://research-software-directory.org/software/jupyterdaskonslurm,https://github.com/RS-DAT/JupyterDaskOnSLURM,['https://github.com/RS-DAT/JupyterDaskOnSLURM'],RS-DAT,JupyterDaskOnSLURM,RS-DAT/JupyterDaskOnSLURM,RSD
Bending Stiffness,https://helmholtz.software/software/bending-stiffness,https://github.com/Ramy-Badr-Ahmed/Bending-Stiffness,['https://github.com/Ramy-Badr-Ahmed/Bending-Stiffness'],Ramy-Badr-Ahmed,Bending-Stiffness,Ramy-Badr-Ahmed/Bending-Stiffness,HELMHOLTZ
PerfectFit,https://research-software-directory.org/software/perfectfit,https://github.com/RasaHQ/rasa,"['https://github.com/RasaHQ/rasa', 'https://github.com/celery/celery', 'https://github.com/PerfectFit-project/virtual-coach-main']",RasaHQ,rasa,RasaHQ/rasa,RSD
ReStore,https://helmholtz.software/software/restore,https://github.com/ReStoreCpp/ReStore,['https://github.com/ReStoreCpp/ReStore'],ReStoreCpp,ReStore,ReStoreCpp/ReStore,HELMHOLTZ
ReSurfEMG,https://research-software-directory.org/software/resurfemg,https://github.com/ReSurfEMG/ReSurfEMG,['https://github.com/ReSurfEMG/ReSurfEMG'],ReSurfEMG,ReSurfEMG,ReSurfEMG/ReSurfEMG,RSD
QMflows,https://research-software-directory.org/software/qmflows,https://github.com/SCM-NV/qmflows,['https://github.com/SCM-NV/qmflows'],SCM-NV,qmflows,SCM-NV/qmflows,RSD
quafing,https://research-software-directory.org/software/quafing,https://github.com/SDCCA/quafing/,['https://github.com/SDCCA/quafing/'],SDCCA,quafing,SDCCA/quafing,RSD
